"vendorNumber","brand","PurchasePrice","ActualPrice","TotalSalesQuantity","TotalSalesDollars","TotalSalesPrice","TotalExciseTax","TotalQuantityPurchase","TotalPurchaseDollars","freightCost","GrossProfit","profitmargin","stockturnover","salestoPurchaseRatio"
12546,1346,22.55,29.99,22144,684455.56,350154.71,17438.07,25540,575927,123880.97,108528.56,15.8561879459347,0.867032106499608,1.18844152123446
7239,5242,22.05,29.99,24770,763368.3,351898.27,19504.75,25361,559210.05,16978.67,204158.25,26.7443971671341,0.976696502503844,1.36508329920036
7239,4722,27.77,34.99,18637,665392.63,204514.67,14677.69,19910,552900.7,16978.67,112491.93,16.906097983081,0.936062280261175,1.20345774566753
4425,6967,11.89,19.99,46511,923055.25,185950.74,5216.4,46257,549995.73,144929.24,373059.52,40.4157302610001,1.00549106081242,1.67829530240171
8664,3630,19.83,24.99,27622,700960.78,298569.61,50751.81,27479,544908.57,18544.49,156052.21,22.2626164619367,1.00520397394374,1.2863823742027
1128,2760,28.02,38.99,18250,701171.5,345701.2,33536.43,19219,538516.38,68601.68,162655.12,23.1976228354975,0.94958114365992,1.30204303163443
3960,8178,18.51,25.99,27204,724379.96,301943.56,21421.64,28421,526072.71,257032.07,198307.25,27.3761369654677,0.957179550332501,1.37695787337077
3089,5445,11.76,15.99,41133,661672.67,253884.34,32383.34,44330,521320.8,8549.55,140351.87,21.2116770668494,0.927881795623731,1.2692236143273
3252,14006,5.44,9.99,91600,812899.38,143899.93,10283.26,94779,515597.76,61966.91,297301.62,36.5729913584139,0.96645881471634,1.57661542206855
3664,3238,22.83,29.99,20847,632474.53,294114.64,16416.8,22352,510296.16,30234.42,122178.37,19.31751623263,0.932668217609163,1.23942639505655
12546,3980,31.99,39.99,15381,565522.19,323365.62,28264.51,15805,505601.95,123880.97,59920.24,10.5955594775158,0.973173046504271,1.11851267583125
7245,3776,18.56,25.99,25596,684036.04,295186.91,47031.43,26795,497315.2,38994.78,186720.84,27.296930144207,0.955252845680164,1.37545773786926
3960,3746,8.52,12.99,57845,724360.55,188936.74,106278.68,58309,496792.68,257032.07,227567.87,31.4163809721554,0.992042394827557,1.45807412057682
17035,3728,18.93,24.99,26222,658689.78,288436.23,48180.15,25959,491403.87,123780.22,167285.91,25.396767200487,1.01013136099233,1.34042448627847
3924,3243,8.26,10.49,57067,648535.33,182200.23,104847.72,57575,475569.5,14069.87,172965.83,26.670224735482,0.991176726009553,1.36370252928331
3089,5440,25.92,34.99,18082,621256.18,318571.82,33226.63,18298,474284.16,8549.55,146972.02,23.6572326733233,0.988195431194666,1.30988178057644
480,4245,7.93,11.99,58320,643474.8,167950.57,45919.42,58816,466410.88,89286.27,177063.92,27.5168382662382,0.991566920565832,1.37963076676084
9165,36378,6.83,9.97,67195,695816.41,155747.37,15097.47,68084,465013.72,68054.7,230802.69,33.1700555898071,0.986942600317255,1.49633522641009
3664,4198,17.51,24.99,23008,575754.92,288223.98,42276.16,25998,455224.98,30234.42,120529.94,20.9342440356393,0.884991153165628,1.26477004842748
10000,24325,10.88,15.99,39387,658288.13,155090.73,4415.6,41274,449061.12,17587.59,209227.01,31.7835003344204,0.954281145515336,1.46592100870367
17035,5735,9.29,11.99,46557,598769.43,181685.19,36656.77,48121,447044.09,123780.22,151725.34,25.3395267690937,0.967498597286008,1.33939681430527
8112,5342,19.85,28.99,22623,687309.77,335050.78,17815.45,22234,441344.9,48347.26,245964.87,35.7866104536823,1.01749572726455,1.55730760681725
2555,5311,23.7,31.99,18376,667168.24,306347.94,33767.5,18409,436293.3,5861.03,230874.94,34.6052054276445,0.998207398555055,1.52917370035249
1392,19748,9.2,13.99,46069,701955.59,166739.16,10347.03,47153,433807.6,79528.99,268147.99,38.2001359943583,0.977011006722796,1.61812653812427
8112,3668,34.12,42.99,12218,536414.82,282790.95,22452.64,12713,433767.56,48347.26,102647.26,19.1357986716325,0.961063478329269,1.23664116329953
2561,2520,42.21,62.99,9713,572039.87,344176.98,7651.83,10227,431681.67,9654.5,140358.2,24.5364365948828,0.949740881979075,1.32514283036387
3960,8202,13.33,17.99,31816,606781.84,219853.86,25052.7,32375,431558.75,257032.07,175223.09,28.877444651277,0.982733590733591,1.40602372214675
3960,3276,9.62,14.99,44434,643753.66,185732.19,81641.21,44631,429350.22,257032.07,214403.44,33.3051993832548,0.995586027648944,1.49936725314826
3960,497,14.7,19.99,29238,584467.62,145247.34,30699.9,29200,429240,257032.07,155227.62,26.5588057726791,1.00130136986301,1.36163363153481
3960,1883,13.23,17.99,32430,583415.7,227105.76,59584.78,32253,426707.19,257032.07,156708.51,26.8605232941109,1.00548786159427,1.36725069010438
3960,2767,139.7,189.99,2761,548648.39,399868.02,2176.61,2963,413931.1,257032.07,134717.29,24.554394482047,0.931825852176848,1.32545824655359
17035,482,14.28,21.99,27866,599601.34,198436.06,29259.3,28888,412520.64,123780.22,187080.7,31.200847549807,0.964621988368873,1.45350627789194
3960,8778,37.29,49.99,10796,525233.04,304106.57,19841.33,10966,408922.14,257032.07,116310.9,22.1446274590799,0.984497537844246,1.28443287516787
